SUBNATIONAL1,SUBNATIONAL2,PERTE,ANNEE
Jijel,Texenna,293,2012
Jijel,Ziama Mansouria,63,2012
Jijel,Bordj Tahar,28,2013
Jijel,Boudria Beniyadjis,26,2013
Jijel,Bouraoui Belhadef,19,2013
Jijel,Boussif Ouled Askeur,16,2013
Jijel,Chahna,24,2013
Jijel,Chekfa,3,2013
Jijel,Djemaa Beni Habibi,3,2013
Jijel,Djemila,2,2013
Jijel,El Ancer,21,2013
Jijel,El Aouana,124,2013
Jijel,El Kennar Nouchfi,5,2013
Jijel,El Milia,111,2013
Jijel,Emir Abdelkader,3,2013
Jijel,Erraguene,8,2013
Jijel,Ghebala,21,2013
Jijel,Jijel,4,2013
Jijel,Kheir Oued Adjoul,53,2013
Jijel,Kouas,11,2013
Jijel,Oudjana,5,2013
Jijel,Ouled Rabah,2,2013
Jijel,Ouled Yahia Khadrouche,5,2013
Jijel,Selma Benziada,29,2013
Jijel,Settara,88,2013
Jijel,Sidi Abdelaziz,1,2013
Jijel,Sidi Marouf,58,2013
Jijel,Taher,2,2013
Jijel,Texenna,132,2013
Jijel,Ziama Mansouria,24,2013
Jijel,Bordj Tahar,60,2014
Jijel,Boudria Beniyadjis,14,2014
Jijel,Bouraoui Belhadef,19,2014
Jijel,Boussif Ouled Askeur,59,2014
Jijel,Chahna,16,2014
Jijel,Chekfa,19,2014
Jijel,Djemaa Beni Habibi,6,2014
Jijel,Djemila,3,2014
Jijel,El Ancer,43,2014
Jijel,El Aouana,56,2014
Jijel,El Kennar Nouchfi,7,2014
Jijel,El Milia,130,2014
Jijel,Emir Abdelkader,3,2014
Jijel,Erraguene,9,2014
Jijel,Ghebala,18,2014
Jijel,Jijel,10,2014
Jijel,Kheir Oued Adjoul,4,2014
Jijel,Kouas,23,2014
Jijel,Oudjana,38,2014
Jijel,Ouled Rabah,1,2014
Jijel,Ouled Yahia Khadrouche,52,2014
Jijel,Selma Benziada,46,2014
Jijel,Settara,20,2014
Jijel,Sidi Abdelaziz,6,2014
Jijel,Sidi Marouf,4,2014
Jijel,Taher,1,2014
Jijel,Texenna,170,2014
Jijel,Ziama Mansouria,18,2014
Jijel,Bordj Tahar,32,2015
Jijel,Boudria Beniyadjis,26,2015
Jijel,Bouraoui Belhadef,22,2015
Jijel,Boussif Ouled Askeur,17,2015
Jijel,Chahna,15,2015
Jijel,Chekfa,7,2015
Jijel,Djemaa Beni Habibi,3,2015
Jijel,Djemila,1,2015
Jijel,El Ancer,25,2015
Jijel,El Aouana,27,2015
Jijel,El Kennar Nouchfi,1,2015
Jijel,El Milia,84,2015
Jijel,Emir Abdelkader,1,2015
Jijel,Erraguene,7,2015
Jijel,Ghebala,15,2015
Jijel,Jijel,8,2015
Jijel,Kheir Oued Adjoul,2,2015
Jijel,Kouas,17,2015
Jijel,Oudjana,28,2015
Jijel,Ouled Rabah,0,2015
Jijel,Ouled Yahia Khadrouche,36,2015
Jijel,Selma Benziada,24,2015
Jijel,Settara,24,2015
Jijel,Sidi Abdelaziz,3,2015
Jijel,Sidi Marouf,3,2015
Jijel,Taher,8,2015
Jijel,Texenna,218,2015
Jijel,Ziama Mansouria,11,2015
Jijel,Bordj Tahar,1,2016
Jijel,Boudria Beniyadjis,20,2016
Jijel,Bouraoui Belhadef,10,2016
Jijel,Boussif Ouled Askeur,6,2016
Jijel,Chahna,2,2016
Jijel,Chekfa,4,2016
Jijel,Djemaa Beni Habibi,4,2016
Jijel,Djemila,2,2016
Jijel,El Ancer,26,2016
Jijel,El Aouana,14,2016
Jijel,El Kennar Nouchfi,11,2016
Jijel,El Milia,56,2016
Jijel,Emir Abdelkader,8,2016
Jijel,Erraguene,1,2016
Jijel,Ghebala,7,2016
Jijel,Jijel,17,2016
Jijel,Kheir Oued Adjoul,3,2016
Jijel,Kouas,10,2016
Jijel,Oudjana,6,2016
Jijel,Ouled Rabah,3,2016
Jijel,Ouled Yahia Khadrouche,17,2016
Jijel,Selma Benziada,10,2016
Jijel,Settara,14,2016
Jijel,Sidi Abdelaziz,3,2016
Jijel,Sidi Marouf,3,2016
Jijel,Taher,2,2016
Jijel,Texenna,74,2016
Jijel,Ziama Mansouria,9,2016
Jijel,Bordj Tahar,87,2017
Jijel,Boudria Beniyadjis,19,2017
Jijel,Bouraoui Belhadef,161,2017
Jijel,Boussif Ouled Askeur,188,2017
Jijel,Chahna,57,2017
Jijel,Chekfa,47,2017
Jijel,Djemaa Beni Habibi,135,2017
Jijel,Djemila,8,2017
Jijel,El Ancer,464,2017
Jijel,El Aouana,54,2017
Jijel,El Kennar Nouchfi,66,2017
Jijel,El Milia,412,2017
Jijel,Emir Abdelkader,20,2017
Jijel,Erraguene,12,2017
Jijel,Ghebala,129,2017
Jijel,Jijel,32,2017
Jijel,Kheir Oued Adjoul,38,2017
Jijel,Kouas,22,2017
Jijel,Oudjana,136,2017
Jijel,Ouled Rabah,16,2017
Jijel,Ouled Yahia Khadrouche,129,2017
Jijel,Selma Benziada,187,2017
Jijel,Settara,355,2017
Jijel,Sidi Abdelaziz,56,2017
Jijel,Sidi Marouf,30,2017
Jijel,Taher,4,2017
Jijel,Texenna,302,2017
Jijel,Ziama Mansouria,124,2017
Jijel,Bordj Tahar,11,2018
Jijel,Boudria Beniyadjis,4,2018
Jijel,Bouraoui Belhadef,22,2018
Jijel,Boussif Ouled Askeur,17,2018
Jijel,Chahna,2,2018
Jijel,Chekfa,2,2018
Jijel,Djemaa Beni Habibi,13,2018
Jijel,Djemila,3,2018
Jijel,El Ancer,37,2018
Jijel,El Aouana,23,2018
Jijel,El Kennar Nouchfi,27,2018
Jijel,El Milia,70,2018
Jijel,Emir Abdelkader,0,2018
Jijel,Erraguene,8,2018
Jijel,Ghebala,6,2018
Jijel,Jijel,8,2018
Jijel,Kheir Oued Adjoul,7,2018
Jijel,Kouas,21,2018
Jijel,Oudjana,20,2018
Jijel,Ouled Rabah,0,2018
Jijel,Ouled Yahia Khadrouche,16,2018
Jijel,Selma Benziada,27,2018
Jijel,Settara,38,2018
Jijel,Sidi Abdelaziz,3,2018
Jijel,Sidi Marouf,3,2018
Jijel,Taher,17,2018
Jijel,Texenna,42,2018
Jijel,Ziama Mansouria,3,2018
