SUBNATIONAL1,SUBNATIONAL2,THRESHOLD,AREA_HA,TC_LOSS_HA_2017,TC_LOSS_HA_2018
AÏN DEFLA,AIN SOLTANE,10,10495,1,1
AÏN DEFLA,AIN SOLTANE,15,10495,1,1
AÏN DEFLA,AIN SOLTANE,20,10495,1,1
AÏN DEFLA,AIN SOLTANE,25,10495,1,1
AÏN DEFLA,AIN SOLTANE,30,10495,1,1
AÏN DEFLA,AIN SOLTANE,50,10495,1,0
AÏN DEFLA,AIN SOLTANE,75,10495,0,0
AÏN DEFLA,AIN TORK,10,10043,11,13
AÏN DEFLA,AIN TORK,15,10043,11,13
AÏN DEFLA,AIN TORK,20,10043,11,13
AÏN DEFLA,AIN TORK,25,10043,11,13
AÏN DEFLA,AIN TORK,30,10043,11,13
AÏN DEFLA,AIN TORK,50,10043,10,12
AÏN DEFLA,AIN TORK,75,10043,6,10
AÏN DEFLA,ARIB,10,21870,3,91
AÏN DEFLA,ARIB,15,21870,3,89
AÏN DEFLA,ARIB,20,21870,3,87
AÏN DEFLA,ARIB,25,21870,3,84
AÏN DEFLA,ARIB,30,21870,2,82
AÏN DEFLA,ARIB,50,21870,2,59
AÏN DEFLA,ARIB,75,21870,0,26
AÏN DEFLA,BARBOUCHE,10,7505,4,0
AÏN DEFLA,BARBOUCHE,15,7505,2,0
AÏN DEFLA,BARBOUCHE,20,7505,2,0
AÏN DEFLA,BARBOUCHE,25,7505,2,0
AÏN DEFLA,BARBOUCHE,30,7505,2,0
AÏN DEFLA,BARBOUCHE,50,7505,1,0
AÏN DEFLA,BARBOUCHE,75,7505,0,0
AÏN DEFLA,BATHIA,10,10560,0,3
AÏN DEFLA,BATHIA,15,10560,0,3
AÏN DEFLA,BATHIA,20,10560,0,3
AÏN DEFLA,BATHIA,25,10560,0,3
AÏN DEFLA,BATHIA,30,10560,0,3
AÏN DEFLA,BATHIA,50,10560,0,3
AÏN DEFLA,BATHIA,75,10560,0,2
AÏN DEFLA,BELAAS,10,15201,0,0
AÏN DEFLA,BELAAS,15,15201,0,0
AÏN DEFLA,BELAAS,20,15201,0,0
AÏN DEFLA,BELAAS,25,15201,0,0
AÏN DEFLA,BELAAS,30,15201,0,0
AÏN DEFLA,BELAAS,50,15201,0,0
AÏN DEFLA,BELAAS,75,15201,0,0
AÏN DEFLA,BEN ALLAL,10,14357,111,57
AÏN DEFLA,BEN ALLAL,15,14357,109,57
AÏN DEFLA,BEN ALLAL,20,14357,108,56
AÏN DEFLA,BEN ALLAL,25,14357,106,55
AÏN DEFLA,BEN ALLAL,30,14357,105,55
AÏN DEFLA,BEN ALLAL,50,14357,90,49
AÏN DEFLA,BEN ALLAL,75,14357,26,22
AÏN DEFLA,BIR OULD KHELIFA,10,6584,0,0
AÏN DEFLA,BIR OULD KHELIFA,15,6584,0,0
AÏN DEFLA,BIR OULD KHELIFA,20,6584,0,0
AÏN DEFLA,BIR OULD KHELIFA,25,6584,0,0
AÏN DEFLA,BIR OULD KHELIFA,30,6584,0,0
AÏN DEFLA,BIR OULD KHELIFA,50,6584,0,0
AÏN DEFLA,BIR OULD KHELIFA,75,6584,0,0
