SUBNATIONAL1,SUBNATIONAL2,TC_LOSS_HA_,ANNEE
JIJEL,OULED RABAH,1,2012
JIJEL,OULED YAHIA KHADROUCHE,32,2012
JIJEL,SELMA BENZIADA,60,2012
JIJEL,SETTARA,61,2012
JIJEL,SIDI ABDELAZIZ,73,2012
JIJEL,SIDI MAROUF,4,2012
JIJEL,TAHER,0,2012
JIJEL,TEXENNA,293,2012
JIJEL,ZIAMA MANSOURIA,63,2012
JIJEL,BORDJ TAHAR,28,2013
JIJEL,BOUDRIA BENIYADJIS,26,2013
JIJEL,BOURAOUI BELHADEF,19,2013
JIJEL,BOUSSIF OULED ASKEUR,16,2013
JIJEL,CHAHNA,24,2013
JIJEL,CHEKFA,3,2013
JIJEL,DJEMAA BENI HABIBI,3,2013
JIJEL,DJEMILA,2,2013
JIJEL,EL ANCER,21,2013
JIJEL,EL AOUANA,124,2013
JIJEL,EL KENNAR NOUCHFI,5,2013
JIJEL,EL MILIA,111,2013
JIJEL,EMIR ABDELKADER,3,2013
JIJEL,ERRAGUENE,8,2013
JIJEL,GHEBALA,21,2013
JIJEL,JIJEL,4,2013
JIJEL,KHEIR OUED ADJOUL,53,2013
JIJEL,KOUAS,11,2013
JIJEL,OUDJANA,5,2013
JIJEL,OULED RABAH,2,2013
JIJEL,OULED YAHIA KHADROUCHE,5,2013
JIJEL,SELMA BENZIADA,29,2013
JIJEL,SETTARA,88,2013
JIJEL,SIDI ABDELAZIZ,1,2013
JIJEL,SIDI MAROUF,58,2013
JIJEL,TAHER,2,2013
JIJEL,TEXENNA,132,2013
JIJEL,ZIAMA MANSOURIA,24,2013
JIJEL,BORDJ TAHAR,60,2014
JIJEL,BOUDRIA BENIYADJIS,14,2014
JIJEL,BOURAOUI BELHADEF,19,2014
JIJEL,BOUSSIF OULED ASKEUR,59,2014
JIJEL,CHAHNA,16,2014
JIJEL,CHEKFA,19,2014
JIJEL,DJEMAA BENI HABIBI,6,2014
JIJEL,DJEMILA,3,2014
JIJEL,EL ANCER,43,2014
JIJEL,EL AOUANA,56,2014
JIJEL,EL KENNAR NOUCHFI,7,2014
JIJEL,EL MILIA,130,2014
JIJEL,EMIR ABDELKADER,3,2014
JIJEL,ERRAGUENE,9,2014
JIJEL,GHEBALA,18,2014
JIJEL,JIJEL,10,2014
JIJEL,KHEIR OUED ADJOUL,4,2014
JIJEL,KOUAS,23,2014
JIJEL,OUDJANA,38,2014
JIJEL,OULED RABAH,1,2014
JIJEL,OULED YAHIA KHADROUCHE,52,2014
JIJEL,SELMA BENZIADA,46,2014
JIJEL,SETTARA,20,2014
JIJEL,SIDI ABDELAZIZ,6,2014
JIJEL,SIDI MAROUF,4,2014
JIJEL,TAHER,1,2014
JIJEL,TEXENNA,170,2014
JIJEL,ZIAMA MANSOURIA,18,2014
JIJEL,BORDJ TAHAR,32,2015
JIJEL,BOUDRIA BENIYADJIS,26,2015
JIJEL,BOURAOUI BELHADEF,22,2015
JIJEL,BOUSSIF OULED ASKEUR,17,2015
JIJEL,CHAHNA,15,2015
JIJEL,CHEKFA,7,2015
JIJEL,DJEMAA BENI HABIBI,3,2015
JIJEL,DJEMILA,1,2015
JIJEL,EL ANCER,25,2015
JIJEL,EL AOUANA,27,2015
JIJEL,EL KENNAR NOUCHFI,1,2015
JIJEL,EL MILIA,84,2015
JIJEL,EMIR ABDELKADER,1,2015
JIJEL,ERRAGUENE,7,2015
JIJEL,GHEBALA,15,2015
JIJEL,JIJEL,8,2015
JIJEL,KHEIR OUED ADJOUL,2,2015
JIJEL,KOUAS,17,2015
JIJEL,OUDJANA,28,2015
JIJEL,OULED RABAH,0,2015
JIJEL,OULED YAHIA KHADROUCHE,36,2015
JIJEL,SELMA BENZIADA,24,2015
JIJEL,SETTARA,24,2015
JIJEL,SIDI ABDELAZIZ,3,2015
JIJEL,SIDI MAROUF,3,2015
JIJEL,TAHER,8,2015
JIJEL,TEXENNA,218,2015
JIJEL,ZIAMA MANSOURIA,11,2015
JIJEL,BORDJ TAHAR,1,2016
JIJEL,BOUDRIA BENIYADJIS,20,2016
JIJEL,BOURAOUI BELHADEF,10,2016
JIJEL,BOUSSIF OULED ASKEUR,6,2016
JIJEL,CHAHNA,2,2016
JIJEL,CHEKFA,4,2016
JIJEL,DJEMAA BENI HABIBI,4,2016
JIJEL,DJEMILA,2,2016
JIJEL,EL ANCER,26,2016
JIJEL,EL AOUANA,14,2016
JIJEL,EL KENNAR NOUCHFI,11,2016
JIJEL,EL MILIA,56,2016
JIJEL,EMIR ABDELKADER,8,2016
JIJEL,ERRAGUENE,1,2016
JIJEL,GHEBALA,7,2016
JIJEL,JIJEL,17,2016
JIJEL,KHEIR OUED ADJOUL,3,2016
JIJEL,KOUAS,10,2016
JIJEL,OUDJANA,6,2016
JIJEL,OULED RABAH,3,2016
JIJEL,OULED YAHIA KHADROUCHE,17,2016
JIJEL,SELMA BENZIADA,10,2016
JIJEL,SETTARA,14,2016
JIJEL,SIDI ABDELAZIZ,3,2016
JIJEL,SIDI MAROUF,3,2016
JIJEL,TAHER,2,2016
JIJEL,TEXENNA,74,2016
JIJEL,ZIAMA MANSOURIA,9,2016
JIJEL,BORDJ TAHAR,87,2017
JIJEL,BOUDRIA BENIYADJIS,19,2017
JIJEL,BOURAOUI BELHADEF,161,2017
JIJEL,BOUSSIF OULED ASKEUR,188,2017
JIJEL,CHAHNA,57,2017
JIJEL,CHEKFA,47,2017
JIJEL,DJEMAA BENI HABIBI,135,2017
JIJEL,DJEMILA,8,2017
JIJEL,EL ANCER,464,2017
JIJEL,EL AOUANA,54,2017
JIJEL,EL KENNAR NOUCHFI,66,2017
JIJEL,EL MILIA,412,2017
JIJEL,EMIR ABDELKADER,20,2017
JIJEL,ERRAGUENE,12,2017
JIJEL,GHEBALA,129,2017
JIJEL,JIJEL,32,2017
JIJEL,KHEIR OUED ADJOUL,38,2017
JIJEL,KOUAS,22,2017
JIJEL,OUDJANA,136,2017
JIJEL,OULED RABAH,16,2017
JIJEL,OULED YAHIA KHADROUCHE,129,2017
JIJEL,SELMA BENZIADA,187,2017
JIJEL,SETTARA,355,2017
JIJEL,SIDI ABDELAZIZ,56,2017
JIJEL,SIDI MAROUF,30,2017
JIJEL,TAHER,4,2017
JIJEL,TEXENNA,302,2017
JIJEL,ZIAMA MANSOURIA,124,2017
JIJEL,BORDJ TAHAR,11,2018
JIJEL,BOUDRIA BENIYADJIS,4,2018
JIJEL,BOURAOUI BELHADEF,22,2018
JIJEL,BOUSSIF OULED ASKEUR,17,2018
JIJEL,CHAHNA,2,2018
JIJEL,CHEKFA,2,2018
JIJEL,DJEMAA BENI HABIBI,13,2018
JIJEL,DJEMILA,3,2018
JIJEL,EL ANCER,37,2018
JIJEL,EL AOUANA,23,2018
JIJEL,EL KENNAR NOUCHFI,27,2018
JIJEL,EL MILIA,70,2018
JIJEL,EMIR ABDELKADER,0,2018
JIJEL,ERRAGUENE,8,2018
JIJEL,GHEBALA,6,2018
JIJEL,JIJEL,8,2018
JIJEL,KHEIR OUED ADJOUL,7,2018
JIJEL,KOUAS,21,2018
JIJEL,OUDJANA,20,2018
JIJEL,OULED RABAH,0,2018
JIJEL,OULED YAHIA KHADROUCHE,16,2018
JIJEL,SELMA BENZIADA,27,2018
JIJEL,SETTARA,38,2018
JIJEL,SIDI ABDELAZIZ,3,2018
JIJEL,SIDI MAROUF,3,2018
JIJEL,TAHER,17,2018
JIJEL,TEXENNA,42,2018
JIJEL,ZIAMA MANSOURIA,3,2018
