COUNTRY,SUBNATIONAL1,SUBNATIONAL2,THRESHOLD,AREA_HA,EXTENT_2000_HA,EXTENT_2010_HA,GAIN_2000_2012_HA,TC_LOSS_HA_2001,TC_LOSS_HA_2002,TC_LOSS_HA_2003,TC_LOSS_HA_2004,TC_LOSS_HA_2005,TC_LOSS_HA_2006,TC_LOSS_HA_2007,TC_LOSS_HA_2008,TC_LOSS_HA_2009,TC_LOSS_HA_2010,TC_LOSS_HA_2011,TC_LOSS_HA_2012,TC_LOSS_HA_2013,TC_LOSS_HA_2014,TC_LOSS_HA_2015,TC_LOSS_HA_2016,TC_LOSS_HA_2017,TC_LOSS_HA_2018
ALGERIA,AÏN DEFLA,OUED DJEMAA,10,24435,4340,1319,3,193,50,144,88,31,40,35,43,71,3,14,49,1,1,0,1,1,1
ALGERIA,AÏN DEFLA,ROUINA,10,5909,50,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,SIDI LAKHDAR,10,3537,46,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,TACHETA ZEGAGHA,10,18238,4944,3009,66,15,1,3,2,11,25,48,108,59,41,125,9,21,10,9,4,3,8
ALGERIA,AÏN DEFLA,TARIK IBN-ZIAD,10,40673,14160,5656,11,245,16,149,166,135,200,103,248,183,49,141,108,7,2,7,5,47,26
ALGERIA,AÏN DEFLA,TIBERKANINE,10,10751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,ZEDDINE,10,10614,761,88,0,2,8,18,30,0,12,7,23,2,7,17,1,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,AGHLAL,10,13277,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,AIN EL ARBAA,10,7098,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,AIN KIHEL,10,7852,42,12,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
